task,description,dept,status,assigned to
FOUND-001 - Add root CONTRIBUTING.md with repo workflow,Priority: High Depends on: TASK-0001 Definition of done: CONTRIBUTING.md documents workflow and is linked from README Docs: change note Path: /,Foundation,Done,
FOUND-002 - Add .nvmrc or .node-version,Priority: Medium Definition of done: Node version file exists and matches CI runtime Docs: none Path: /,Foundation,Done,
FOUND-003 - Add pinned pnpm-lock.yaml,Priority: Medium Definition of done: Lockfile is committed and install is reproducible Docs: change note Path: /,Foundation,Done,
FOUND-004 - Add app-level .env.example files,Priority: High Definition of done: Each app has a local env example with required variables Docs: change note Path: /apps,Foundation,Done,
FOUND-005 - Add shared ESLint config,Priority: High Definition of done: Lint config is reusable across apps and packages Docs: task doc + change note Path: /,Foundation,Done,
FOUND-006 - Add shared Prettier config,Priority: High Definition of done: Formatting config is committed and documented Docs: change note Path: /,Foundation,Done,
FOUND-007 - Add root lint script that actually runs,Priority: High Depends on: FOUND-005 Definition of done: Root lint command succeeds Docs: change note Path: /package.json,Foundation,Done,
FOUND-008 - Make root typecheck pass cleanly,Priority: High Definition of done: Root typecheck command succeeds Docs: change note Path: /,Foundation,Done,
FOUND-009 - Add root test placeholders that pass,Priority: Medium Definition of done: Root test command succeeds without failing placeholders Docs: none Path: /,Foundation,Done,
FOUND-010 - Add commit and branch naming conventions doc,Priority: Medium Depends on: TASK-0001 Definition of done: Conventions doc exists in docs/process Docs: change note Path: /docs/process,Foundation,Done,
DOC-001 - Commit current documentation pipeline changes,Priority: High Depends on: TASK-0001 Definition of done: Pipeline changes are committed and pushed Docs: handoff + change note Path: /docs,Docs,Done,
DOC-002 - Add docs/api/websocket-events.md,Priority: High Depends on: COLLAB-001 Definition of done: WebSocket events are documented with payloads Docs: api doc + change note Path: /docs/api,Docs,Done,
DOC-003 - Add authentication flow spec,Priority: High Depends on: AUTH-002 Definition of done: Authentication flow spec exists and is linked from task docs Docs: spec Path: /docs/specs,Docs,Done,
DOC-004 - Add document session lifecycle spec,Priority: High Depends on: COLLAB-003 Definition of done: Session lifecycle spec covers join leave reconnect Docs: spec Path: /docs/specs,Docs,Done,
DOC-005 - Add permission propagation spec,"Priority: High Depends on: SHARE-005,COLLAB-008 Definition of done: Permission propagation behavior is documented Docs: spec Path: /docs/specs",Docs,Done,
DOC-006 - Add AI proposal lifecycle spec,"Priority: High Depends on: AI-002,AI-007 Definition of done: AI proposal lifecycle is documented from request through apply Docs: spec Path: /docs/specs",Docs,Done,
DOC-007 - Add versioning model spec,Priority: High Depends on: VER-001 Definition of done: Versioning model spec exists Docs: spec Path: /docs/specs,Docs,Done,
DOC-008 - Add export pipeline spec,Priority: Medium Depends on: EXP-001 Definition of done: Export flow and job lifecycle are documented Docs: spec Path: /docs/specs,Docs,Done,
DOC-009 - Add initial container diagram source file,"Priority: Medium Depends on: ADR-002,ADR-004,ADR-005 Definition of done: Container diagram source is committed Docs: diagram Path: /docs/diagrams",Docs,Done,
DOC-010 - Add sequence diagram for open document and join session,Priority: Medium Depends on: DOC-004 Definition of done: Sequence diagram source is committed Docs: diagram Path: /docs/diagrams,Docs,Done,
ADR-002 - Decide NestJS vs Fastify for API,Priority: High Definition of done: ADR accepted and linked from relevant tasks Docs: ADR + task doc Path: /docs/adr,Architecture,Done,
ADR-003 - Decide Next.js app setup details,Priority: High Definition of done: ADR accepted and linked from web setup tasks Docs: ADR + task doc Path: /docs/adr,Architecture,Done,
ADR-004 - Decide collab server stack around Yjs/Hocuspocus,Priority: High Definition of done: ADR accepted and linked from collaboration tasks Docs: ADR + task doc Path: /docs/adr,Architecture,Done,
ADR-005 - Decide queue and job framework for worker,Priority: High Definition of done: ADR accepted and linked from worker tasks Docs: ADR + task doc Path: /docs/adr,Architecture,Done,
ADR-006 - Decide database ORM or query layer,Priority: High Definition of done: ADR accepted and linked from DB tasks Docs: ADR + task doc Path: /docs/adr,Architecture,Done,
ADR-007 - Decide auth token and session strategy,Priority: High Definition of done: ADR accepted and linked from auth tasks Docs: ADR + task doc Path: /docs/adr,Architecture,Done,
ADR-008 - Decide snapshot storage format,Priority: Medium Depends on: ADR-004 Definition of done: ADR accepted and linked from versioning and collab tasks Docs: ADR + task doc Path: /docs/adr,Architecture,Done,
WEB-001 - Turn apps/web into a real Next.js app,Priority: High Depends on: ADR-003 Definition of done: apps/web boots as a real Next.js app Docs: task doc + change note Path: /apps/web,Web,Done,
WEB-002 - Add base layout and route structure,Priority: High Depends on: WEB-001 Definition of done: Core app routes and layout are present Docs: none Path: /apps/web,Web,Done,
WEB-003 - Add shared design tokens and CSS foundation,Priority: Medium Depends on: WEB-001 Definition of done: Design tokens and global styles are committed Docs: change note Path: /apps/web,Web,Done,
WEB-004 - Add auth shell states,Priority: Medium Depends on: AUTH-004 Definition of done: Signed in signed out and loading shells exist Docs: none Path: /apps/web,Web,Done,
WEB-005 - Add document list page scaffold,Priority: High Depends on: WEB-002 Definition of done: Document list route renders with placeholder data Docs: none Path: /apps/web,Web,Done,
WEB-006 - Add new document button flow stub,"Priority: High Depends on: WEB-005,DOCSVC-001 Definition of done: Create button calls stubbed or real flow Docs: none Path: /apps/web",Web,Done,
WEB-007 - Add document editor route scaffold,Priority: High Depends on: WEB-002 Definition of done: Editor page route exists with shell components Docs: none Path: /apps/web,Web,Done,
WEB-008 - Add editor toolbar shell,Priority: Medium Depends on: WEB-007 Definition of done: Toolbar component renders with placeholders Docs: none Path: /apps/web,Web,Done,
WEB-009 - Add collaborator presence UI shell,Priority: Medium Depends on: WEB-007 Definition of done: Presence UI renders placeholder collaborators Docs: none Path: /apps/web,Web,Done,
WEB-010 - Add version history panel shell,Priority: Medium Depends on: WEB-007 Definition of done: Version history panel placeholder exists Docs: none Path: /apps/web,Web,Done,
WEB-011 - Add sharing modal shell,Priority: Medium Depends on: WEB-007 Definition of done: Sharing modal placeholder exists Docs: none Path: /apps/web,Web,Done,
WEB-012 - Add AI action menu shell,Priority: Medium Depends on: WEB-007 Definition of done: AI action menu placeholder exists Docs: none Path: /apps/web,Web,Done,
WEB-013 - Add export modal shell,Priority: Medium Depends on: WEB-007 Definition of done: Export modal placeholder exists Docs: none Path: /apps/web,Web,Done,
WEB-014 - Add offline status banner component,Priority: Medium Depends on: WEB-007 Definition of done: Offline banner component exists Docs: none Path: /apps/web,Web,Done,
