Task ID,Title,Area,Status,Priority,Owner,Depends On,Definition of Done,Docs Required,Repo Path
FOUND-001,Add root CONTRIBUTING.md with repo workflow,Foundation,Done,High,,TASK-0001,CONTRIBUTING.md documents workflow and is linked from README,change note,/
FOUND-002,Add .nvmrc or .node-version,Foundation,Done,Medium,,,Node version file exists and matches CI runtime,none,/
FOUND-003,Add pinned pnpm-lock.yaml,Foundation,Done,Medium,,,Lockfile is committed and install is reproducible,change note,/
FOUND-004,Add app-level .env.example files,Foundation,Done,High,,,Each app has a local env example with required variables,change note,/apps
FOUND-005,Add shared ESLint config,Foundation,Done,High,,,Lint config is reusable across apps and packages,task doc + change note,/
FOUND-006,Add shared Prettier config,Foundation,Done,High,,,Formatting config is committed and documented,change note,/
FOUND-007,Add root lint script that actually runs,Foundation,Done,High,,FOUND-005,Root lint command succeeds,change note,/package.json
FOUND-008,Make root typecheck pass cleanly,Foundation,Done,High,,,Root typecheck command succeeds,change note,/
FOUND-009,Add root test placeholders that pass,Foundation,Done,Medium,,,Root test command succeeds without failing placeholders,none,/
FOUND-010,Add commit and branch naming conventions doc,Foundation,Done,Medium,,TASK-0001,Conventions doc exists in docs/process,change note,/docs/process
DOC-001,Commit current documentation pipeline changes,Docs,Done,High,,TASK-0001,Pipeline changes are committed and pushed,handoff + change note,/docs
DOC-002,Add docs/api/websocket-events.md,Docs,Done,High,,COLLAB-001,WebSocket events are documented with payloads,api doc + change note,/docs/api
DOC-003,Add authentication flow spec,Docs,Done,High,,AUTH-002,Authentication flow spec exists and is linked from task docs,spec,/docs/specs
DOC-004,Add document session lifecycle spec,Docs,Done,High,,COLLAB-003,Session lifecycle spec covers join leave reconnect,spec,/docs/specs
DOC-005,Add permission propagation spec,Docs,Done,High,,"SHARE-005,COLLAB-008",Permission propagation behavior is documented,spec,/docs/specs
DOC-006,Add AI proposal lifecycle spec,Docs,Done,High,,"AI-002,AI-007",AI proposal lifecycle is documented from request through apply,spec,/docs/specs
DOC-007,Add versioning model spec,Docs,Done,High,,VER-001,Versioning model spec exists,spec,/docs/specs
DOC-008,Add export pipeline spec,Docs,Done,Medium,,EXP-001,Export flow and job lifecycle are documented,spec,/docs/specs
DOC-009,Add initial container diagram source file,Docs,Done,Medium,,"ADR-002,ADR-004,ADR-005",Container diagram source is committed,diagram,/docs/diagrams
DOC-010,Add sequence diagram for open document and join session,Docs,Done,Medium,,DOC-004,Sequence diagram source is committed,diagram,/docs/diagrams
ADR-002,Decide NestJS vs Fastify for API,Architecture,Done,High,,,ADR accepted and linked from relevant tasks,ADR + task doc,/docs/adr
ADR-003,Decide Next.js app setup details,Architecture,Done,High,,,ADR accepted and linked from web setup tasks,ADR + task doc,/docs/adr
ADR-004,Decide collab server stack around Yjs/Hocuspocus,Architecture,Done,High,,,ADR accepted and linked from collaboration tasks,ADR + task doc,/docs/adr
ADR-005,Decide queue and job framework for worker,Architecture,Done,High,,,ADR accepted and linked from worker tasks,ADR + task doc,/docs/adr
